learning_material_id,source_title,grade,source_url,source_key,image_page,image_url,local_path,file_size_bytes,status,notes
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0034,https://cdn3.olm.vn/upload/taphuan/4699918592-page-34-1775787607597.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0034.png,751202,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0035,https://cdn3.olm.vn/upload/taphuan/4699918592-page-35-1775787607895.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0035.png,685606,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0036,https://cdn3.olm.vn/upload/taphuan/4699918592-page-36-1775787608182.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0036.png,517436,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0037,https://cdn3.olm.vn/upload/taphuan/4699918592-page-37-1775787608478.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0037.png,506853,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0038,https://cdn3.olm.vn/upload/taphuan/4699918592-page-38-1775787608852.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0038.png,817536,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0039,https://cdn3.olm.vn/upload/taphuan/4699918592-page-39-1775787609169.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0039.png,777466,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0040,https://cdn3.olm.vn/upload/taphuan/4699918592-page-40-1775787609463.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0040.png,775955,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0041,https://cdn3.olm.vn/upload/taphuan/4699918592-page-41-1775787609773.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0041.png,739160,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0042,https://cdn3.olm.vn/upload/taphuan/4699918592-page-42-1775787610055.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0042.png,714868,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0043,https://cdn3.olm.vn/upload/taphuan/4699918592-page-43-1775787610351.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0043.png,811613,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0044,https://cdn3.olm.vn/upload/taphuan/4699918592-page-44-1775787610706.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0044.png,611664,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
